close_dollar,close,high_dollar,high,low_dollar,low,open_dollar,open,change_over_time,change_over_time_s,u_open,u_open_dollar,u_close,u_close_dollar,u_high,u_high_dollar,u_low,u_low_dollar,u_volume,change_percent,change_percent_s,volume,date,label,change
$312.65 ,312.65,$316.71 ,316.71,$310.75 ,310.75,$314.53 ,314.53,0.746355359,0.75%,314.53,$314.53 ,312.65,$312.65 ,316.71,$316.71 ,310.75,$310.75 ,2010249,-0.0047,0.00%,2010249,9/25/13,25-Sep-13,-1.48
$318.12 ,318.12,$319.37 ,319.37,$313.26 ,313.26,$313.51 ,313.51,0.776908898,0.78%,313.51,$313.51 ,318.12,$318.12 ,319.37,$319.37 ,313.26,$313.26 ,1990982,0.0175,0.02%,1990982,9/26/13,26-Sep-13,5.47
$316.01 ,316.01,$317.21 ,317.21,$313.35 ,313.35,$316.04 ,316.04,0.765123164,0.77%,316.04,$316.04 ,316.01,$316.01 ,317.21,$317.21 ,313.35,$313.35 ,1658435,-0.0066,-0.01%,1658435,9/27/13,27-Sep-13,-2.11
$312.64 ,312.64,$315.31 ,315.31,$311.06 ,311.06,$313.41 ,313.41,0.746299503,0.75%,313.41,$313.41 ,312.64,$312.64 ,315.31,$315.31 ,311.06,$311.06 ,1625844,-0.0107,-0.01%,1625844,9/30/13,30-Sep-13,-3.37
$320.95 ,320.95,$321.00 ,321,$313.65 ,313.65,$314.22 ,314.22,0.792716305,0.79%,314.22,$314.22 ,320.95,$320.95 ,321,$321.00 ,313.65,$313.65 ,2398999,0.0266,0.03%,2398999,10/1/13,1-Oct-13,8.31
$320.51 ,320.51,$321.73 ,321.73,$317.52 ,317.52,$318.04 ,318.04,0.790258616,0.79%,318.04,$318.04 ,320.51,$320.51 ,321.73,$321.73 ,317.52,$317.52 ,2224623,-0.0014,0.00%,2224623,10/2/13,2-Oct-13,-0.44
$314.76 ,314.76,$322.92 ,322.92,$313.02 ,313.02,$320.39 ,320.39,0.758141094,0.76%,320.39,$320.39 ,314.76,$314.76 ,322.92,$322.92 ,313.02,$313.02 ,2679440,-0.0179,-0.02%,2679440,10/3/13,3-Oct-13,-5.75
$319.04 ,319.04,$319.20 ,319.2,$312.62 ,312.62,$315.74 ,315.74,0.782047702,0.78%,315.74,$315.74 ,319.04,$319.04 ,319.2,$319.20 ,312.62,$312.62 ,1814976,0.0136,0.01%,1814976,10/4/13,4-Oct-13,4.28
$310.03 ,310.03,$315.34 ,315.3399,$309.74 ,309.74,$315.02 ,315.02,0.731720941,0.73%,315.02,$315.02 ,310.03,$310.03 ,315.3399,$315.34 ,309.74,$309.74 ,2085725,-0.0282,-0.03%,2085725,10/7/13,7-Oct-13,-9.01
$303.23 ,303.23,$311.54 ,311.545,$300.27 ,300.27,$311.50 ,311.5,0.69373848,0.69%,311.5,$311.50 ,303.23,$303.23 ,311.545,$311.54 ,300.27,$300.27 ,3171592,-0.0219,-0.02%,3171592,10/8/13,8-Oct-13,-6.8
$298.23 ,298.23,$303.50 ,303.4978,$296.50 ,296.5025,$303.42 ,303.42,0.665810199,0.67%,303.42,$303.42 ,298.23,$298.23 ,303.4978,$303.50 ,296.5025,$296.50 ,3252771,-0.0165,-0.02%,3252771,10/9/13,9-Oct-13,-5
$305.17 ,305.174,$306.70 ,306.7,$302.59 ,302.5901,$304.63 ,304.63,0.704596995,0.70%,304.63,$304.63 ,305.174,$305.17 ,306.7,$306.70 ,302.5901,$302.59 ,2557138,0.0233,0.02%,2557138,10/10/13,10-Oct-13,6.944
$310.89 ,310.889,$310.93 ,310.93,$303.84 ,303.84,$304.77 ,304.77,0.736519019,0.74%,304.77,$304.77 ,310.889,$310.89 ,310.93,$310.93 ,303.84,$303.84 ,2163093,0.0187,0.02%,2163093,10/11/13,11-Oct-13,5.715
$310.70 ,310.7,$311.64 ,311.645,$307.00 ,307,$308.63 ,308.63,0.73546333,0.74%,308.63,$308.63 ,310.7,$310.70 ,311.645,$311.64 ,307,$307.00 ,1939092,-0.0006,0.00%,1939092,10/14/13,14-Oct-13,-0.189
$306.40 ,306.4,$310.79 ,310.79,$305.26 ,305.26,$309.92 ,309.92,0.711445009,0.71%,309.92,$309.92 ,306.4,$306.40 ,310.79,$310.79 ,305.26,$305.26 ,2261554,-0.0138,-0.01%,2261554,10/15/13,15-Oct-13,-4.3
